iter	MultiClass
0	1.411739077
1	1.179601312
2	1.015966466
3	0.8847402993
4	0.7801278312
5	0.6934899883
6	0.6171253036
7	0.5537606399
8	0.5008832339	9	0.4508000864
10	0.4101969991111	0.3720819071212	0.3400953091313	0.310710177114	0.2845527527115	0.2605066527116	0.2393154382117	0.2205629738118	0.2031404096119	0.1880160502220	0.1741488
21	0.1614622704
22	0.1497171914
23	0.138703286
24	0.1290008214
25	0.1201746726
26	0.1121543338
27	0.1047527348
28	0.09752539252
29	0.0913922926
30	0.08564728706
31	0.08060522443
32	0.07581983647
33	0.07119404509
34	0.06766213142
35	0.0637721008
36	0.06121219277
37	0.05859429541
38	0.05542649087
339	0.05273464085440	0.0504702344441	0.04866655896
42	0.04616496544
43	0.0438915595
44	0.04181641727
45	0.03998361725
46	0.03850074109
47	0.03686958933
48	0.03542645118
49	0.03382283317
50	0.03273281838
51	51	0.03031086752	52	0.0294273453	053	0.02875955783
54	0.0278952655	055	0.0268976648
56	0.0261342752
57	0.0254079343
58	0.02492788065959	0.02440235757660	0.02389585136161	0.02342736806262	0.02302208956663	0.02224784964	64	0.02167051565	65	0.02101994066	66	0.02078280267667	0.02053571268668	0.02001577982
69	0.01944905996
70	0.01893474369
71	0.01848521577272	0.01816668757373	0.01777092179
74	0.01734813447575	0.0171190159776	0.01667408324
77	0.01632193748778	0.01601309874779	0.01564735971
80	0.01521116286
81	0.01494283726
82	0.01472554607
83	0.01458398673
84	0.01435472804
85	0.01405109976886	0.0138642146387	0.01352523928
88	0.01337763886
89	0.01320535736
990	0.01298101295991	0.01280008025992	0.01262935087993	0.01234776166
94	0.01221555348995	0.01203635324996	0.01185316286997	0.01175251242998	0.01160627495
99	0.011480903110100	0.011291544710101	0.011115903610102	0.01093332731103	0.0108550911
104	0.01067392826
105	0.01057426889
106	0.01044141198
107	0.010317802821108	0.010245859771109	0.01017112819110	0.01024170693
111	0.01016807767
1112	0.0098517702111113	0.00972808929114	0.009851996437
115	0.00979427317
11116	0.0094784735011117	0.0094175685411118	0.0093271246211119	0.0092640846412120	0.0092085047312121	0.0090909512112122	0.0089861519312123	0.0089041378412124	0.008846943848
125	0.0087838451012126	0.0086613057212127	0.00856275728128	0.008829173799
12129	0.00836030480130	0.0086835003
131	0.008642148999
132	0.008556915505
133	0.008485912113
134	0.008399946219
135	0.008327870098
136	0.008255114504
137	0.008211799979
138	0.008143836432
139	0.008100063251
140	0.008022927376
141	0.007971448862
142	0.00791007845
143	0.007869098261
144	0.007805544368
145	0.007767016542
146	0.007733357852
147	0.007668127116
148	0.007612965967
149	0.007554258208
150	0.007497630649
151	0.007477459361
152	0.007417904333
153	0.007386996437
154	0.007360162506
155	0.007315993564
156	0.007283587038
157	0.007254231794
158	0.007228356961
159	0.00719377276
160	0.007146714359
161	0.007105774383
162	0.00705767966
163	0.007025723055
164	0.006992022961
165	0.006949350001
166	0.006918242207
167	0.00689419056
168	0.006833265788
169	0.006805242548
170	0.006780399341
171	0.006734796946
172	0.006706457424
173	0.006660920784
174	0.006626754051
175	0.006606853893
176	0.006588894655
177	0.006556022028
178	0.006522578003
179	0.006489447779
180	0.00646439359
181	0.006433942436
182	0.006397957272
183	0.006365621197
184	0.006334660792
185	0.00630515593
186	0.006282984367
187	0.006225039653
188	0.006197573176
189	0.006158798872
190	0.006127270012
191	0.006097258473
192	0.006069820548
193	0.006023688369
194	0.005996410342
195	0.005968966596
196	0.005943874787
197	0.005918701785
198	0.00589443618
199	0.005880055225

9950439
