iter	MultiClass
0	1.412167013
1	1.181047897
2	1.017179378
3	0.8836643692
4	0.7801278315	5	0.6934899886	6	0.6171253037	7	0.5537606398	8	0.5008832339	9	0.4508000861010	0.405378458
11	0.3684594228112	0.3355944684
13	0.3059481951114	0.2800726668
15	0.2570460483116	0.236902095
17	0.2180386295
18	0.2012953667
19	0.1861852114
20	0.17194554221	0.1614622704
22	0.1497171914
23	0.138703286
24	0.1290008214
25	0.1201746726
26	0.1121543338
27	0.1047527348
28	0.09752539252
29	0.0913922926
30	030	0.0859051231	0.08060522443
32	0.07581983647
33	0.07119404509
34	0.06766213142
35	0.0637721008
36	0.06121219277
37	0.05859429541
38	0.05542649087
39	0.05331687563
40	0.05108664852
41	0.04866655896
42	0.04616496544
43	0.0438915595
44	0.04181641727
45	0.03998361725
46	0.03850074109
47	0.03686958933
48	0.03542645118
49	0.03382283317
50	0.03273281838
51	0.03153582129
52	0.0302351506
53	0.02906249738
54	0.02818054399
55	0.02753479136
56	0.02671850879
57	0.026053522445558	0.02492788061559	0.02440235756660	0.02389585132661	0.02342736809662	0.02302208954663	0.02224784964664	0.02167051565665	0.02101994066	0.02124499813
67	0.02073972673
68	0.02024581631
69	0.01959323978
70	0.01910118307
71	0.01867863207
72	0.0183776167
73	0.01802690493
74	0.01769179017
75	0.01739484629
76	0.01716380661
77	0.01685101534
78	0.01659534904
79	0.01627818298
80	0.016056559
81	0.01570611819
82	0.01554327434
83	0.01515985004
84	0.01489839275
85	0.01455215449
86	0.01438237889
87	0.87	0.013671488	0.88	0.013430389	0.89	0.01323214464
90	0.01298101295991	0.01280008025992	0.01262935087993	0.01234776166994	0.01221555348995	0.01203635324996	0.01185316286997	0.01175251242
98	0.01160627495999	0.01148090313
100	0.01129154478
101	0.01111590364
102	0.0109333273
103	0.0108550911
104	0.01067392826
105	0.01057426889
106	0.01044141198
107	0.01031780282
108	0.01024585977
109	0.01017112819
110	0.01007321625
111	0.01000001896
112	0.009851770213
113	0.00972808929
114	0.009636303547
115	0.009578330191
116	0.009478473503
117	0.009417568547
118	0.009327124626
119	0.009264084648
120	0.009208504736
121	0.009090951213
122	0.008986151938
123	0.008904137841
124	0.008846943848
125	0.008783845102
126	0.008661305723
127	0.008562757284
128	0.008449243563
129	0.008360304802
130	0.008292829791
131	0.008256882931
132	0.008171044293
133	0.008122998076
134	0.008076910062
135	0.008017042162
136	0.007963252039
137	0.007921398737
138	0.007865605737
139	0.007792560653
140	0.007734608068
141	0.007684016678
142	0.007636691848
143	0.007589063
144	0.007502500611
145	0.007451192458
146	0.007412659535
147	0.007362874393
148	0.00730521031
149	0.007268001261
150	0.007234464606
151	0.007189690894
152	0.007156252967
153	0.007093464117
154	0.007064780185
155	0.007010996554
156	0.006956288325
157	0.006926154965
158	0.00685077862
159	0.006805526172
160	0.006769380385
161	0.006719912526
162	0.006667466713
163	0.006622081155
164	0.006592747622
165	0.006546660224
166	0.006512812739
167	0.006489148454
168	0.006471409406
169	0.006411473231
170	0.00637655935
171	0.006321712608
172	0.006294221591
173	0.006255601179
174	0.006227337034
175	0.006184685001
176	0.006147410144
177	0.006115615106
178	0.00607666136
179	0.006050279716
180	0.006027539745
181	0.005992964658
182	0.005965220747
183	0.005941529774
184	0.005906520595
185	0.00587483843
186	0.005845813831
187	0.005809799028
188	0.005788931848
189	0.005765964365
190	0.005731687325
191	0.00570732381
192	0.005684850342
193	0.005652779213
194	0.005629570029
195	0.005597752993
196	0.005576495417
197	0.00555465379
198	0.005534313687
199	0.005500566777
9950439
